# What an employee owes. THIS FILE IS THE SPECIFICATION.
#
# Implemented twice: the admin portal (web/index.html, debtInvoices) and the phone app
# (Debt.kt, Invoice). The employee sees their own balance on their phone and Aadil sees
# the same balance on the portal, so a drift between the two is an argument about money
# with nothing on either screen to settle it.
#
# The two dangerous rules, both of which have already gone wrong once:
#
#   THE KEY. An invoice is grouped on its number REDUCED to letters, digits and single
#   spaces. "INV-1042" and "INV 1042" are one invoice. They were once grouped as typed
#   while the document id used the reduced form, so the second line silently replaced the
#   first and the screen showed two invoices with the payment on only one of them.
#
#   THE CENT. outstanding is rounded to the cent BEFORE it is judged settled, because
#   0.1 + 0.2 is not 0.3 in binary. An invoice paid to the last cent must read as settled
#   rather than as owing R0,00 — a balance that will not clear is the kind of thing
#   somebody argues about.
#
# Ordering is not in this table: unsettled first, then oldest, then by number. Each side
# asserts it directly, against this sentence.
#
# lines and payments are amounts separated by "|", and may be empty.
# days: whole days from invoice_date to today while anything is owed, else "none".
written,key,lines,payments,invoice_date,today,billed,paid,outstanding,settled,days

# --- the ordinary case ---
INV-1042,INV 1042,12500.00,,2026-03-14,2026-09-08,12500.00,0.00,12500.00,no,178
INV-1042,INV 1042,12500.00,12500.00,2026-03-14,2026-09-08,12500.00,12500.00,0.00,yes,none

# --- THE KEY: the same invoice, written every way somebody types it ---
INV 1042,INV 1042,100.00,,2026-09-01,2026-09-08,100.00,0.00,100.00,no,7
inv-1042,INV 1042,100.00,,2026-09-01,2026-09-08,100.00,0.00,100.00,no,7
INV/1042,INV 1042,100.00,,2026-09-01,2026-09-08,100.00,0.00,100.00,no,7
INV - 1042,INV 1042,100.00,,2026-09-01,2026-09-08,100.00,0.00,100.00,no,7
INV--1042,INV 1042,100.00,,2026-09-01,2026-09-08,100.00,0.00,100.00,no,7
INV1042,INV1042,100.00,,2026-09-01,2026-09-08,100.00,0.00,100.00,no,7
# A number with nothing in it reduces to nothing, and cannot be an invoice.
-,,100.00,,2026-09-01,2026-09-08,100.00,0.00,100.00,no,7

# --- SEVERAL PRODUCT LINES on one invoice: billed is their sum ---
INV-2000,INV 2000,1200.00|300.50|99.50,,2026-08-01,2026-09-08,1600.00,0.00,1600.00,no,38

# --- PART PAYMENTS: money comes off the invoice, not off a line ---
INV-3000,INV 3000,1000.00,400.00,2026-08-01,2026-09-08,1000.00,400.00,600.00,no,38
INV-3000,INV 3000,1000.00,400.00|300.00,2026-08-01,2026-09-08,1000.00,700.00,300.00,no,38
INV-3000,INV 3000,1000.00,400.00|600.00,2026-08-01,2026-09-08,1000.00,1000.00,0.00,yes,none
# Overpaid still settles, and never reads as a credit owed to them.
INV-3000,INV 3000,1000.00,1200.00,2026-08-01,2026-09-08,1000.00,1200.00,-200.00,yes,none

# --- THE CENT. Binary cannot hold these exactly; the rounding is what makes them settle.
INV-4000,INV 4000,0.10|0.20,0.30,2026-09-01,2026-09-08,0.30,0.30,0.00,yes,none
INV-4001,INV 4001,20.10|0.20,20.30,2026-09-01,2026-09-08,20.30,20.30,0.00,yes,none
# And one cent short is NOT settled — the rounding must not swallow a real balance.
INV-4002,INV 4002,100.00,99.99,2026-09-01,2026-09-08,100.00,99.99,0.01,no,7

# --- AGEING ---
# The day it was issued is nought days old, not one.
INV-5000,INV 5000,500.00,,2026-09-08,2026-09-08,500.00,0.00,500.00,no,0
INV-5001,INV 5001,500.00,,2026-09-07,2026-09-08,500.00,0.00,500.00,no,1
# Across a month end, a leap day, and a year end — where a timezone or a calendar
# instance would shift the answer by a day.
INV-5002,INV 5002,500.00,,2026-08-31,2026-09-01,500.00,0.00,500.00,no,1
INV-5003,INV 5003,500.00,,2028-02-28,2028-03-01,500.00,0.00,500.00,no,2
INV-5004,INV 5004,500.00,,2025-12-31,2026-01-01,500.00,0.00,500.00,no,1
INV-5005,INV 5005,500.00,,2026-01-01,2026-12-31,500.00,0.00,500.00,no,364
# A settled invoice has no age: it is not being chased.
INV-5006,INV 5006,500.00,500.00,2026-01-01,2026-09-08,500.00,500.00,0.00,yes,none
# A date that will not read has no age either, and must not become nought.
INV-5007,INV 5007,500.00,,,2026-09-08,500.00,0.00,500.00,no,none
INV-5008,INV 5008,500.00,,01/09/2026,2026-09-08,500.00,0.00,500.00,no,none

# --- NOTHING ON IT ---
# An invoice with no lines is billed nothing, and nothing is owed on it.
INV-6000,INV 6000,,,2026-09-01,2026-09-08,0.00,0.00,0.00,yes,none
